ECOVILLAGE | ECOVILLAGE-INVESTIMENTOS TURISTICOS
EDISOFT | EDISOFT EMPRESA DE SERVIȏS E DESENVOLVIMENTO DE SOFTWARE, SA
EDUCA | EDUCA EMPRESA MUNICIPAL GESTď MANUTENȃO EQUIPAMENTOS EDUCATIVOS EINTRA EM
EFACEC | EFACEC SISTEMAS DE GESTď SA
EIP | EIP ELECTRICIDADE INDUSTRIAL PORTUGUESA SA
ELPOR | ELPOR-COM.INDUSTRIAS ELECTRICAS, LDA
ENAVAISVC | ESTALEIROS NAVAIS VIANA CASTELO, SA
ESTORILSOL | ESTORIL SOL III - TURISMO  ANIMAȁO
EUROFRUTAS | EUROFRUTAS-SOC.FRUTAS, SA
EUROCABOS | EUROCABOS CONDUTORES ELECTRICOS DE  TECNOLOGIA AVANCADO SA
EUROPCAR | T-SYSTEMS INTERNATIONAL GMBH - EUROPCAR
EXEL | EXEL LOGISTICS (PORTUGAL), LDA
FANAFEL | FANAFEL-FELTROS INDUSTRIAIS, LDA
FERPINTA | "GESFERPINTA*;FERRO ENTRONCAMENTO*;FERRO FUNCHAL*;FERROTUBAL*;FERRO MANGUALDE*;FERPINTA*;FERROMAR* "
FILOBRANCA | FABRICA MALHAS FILOBRANCA
FINCOR | FINCOR SOCIEDADE CORRETORA, SA
FLADGATE;TAYLOR;
FLORENCIOSILVA | TRANSPORTES FLORENCIO & SILVA S.A.
FNAC | "SOCIEDADE DISTRIB.LIVROS, DISCOS E MULTIMEDIA,LDA; FNAC PORTUGAL-ACTIV. C.D. LIVROS,DISCOS,M. P. ,LDA"
FPF | FEDERAȃO PORTUGUESA DE FUTEBOL
FRAMADA;F. RAMADA;F.RAMADA ACOS & INDUSTRIAS, SA
FRANSMAAS | DSV TRANSITIOS LDA
FROMAGERIES | FROMAGERIES BEL PORTUGAL, S.A.
FSILVA;FERSIL;
GASIN | GASIN GASES INDUSTRIAIS SA
GENERG | GENERG-SERVIȏS DE ENGENHARIA E GESTď SOCIEDADE UNIPESSOAL LDA
GLOBALSEGUROS | GLOBAL-COMPANHIA SEGUROS, SA
GNOTICIAS | GLOBAL NOTICIAS*
GROUPAMA | GROUPAMA SEGUROS DE VIDA, SA
GRUPOPESTANA | "GRUPO PESTANA POUSADAS - INVESTIMENTO; M & J PESTANA SOC TURISMO MADEIRA SA"
GUESTCENTRIC | GUESTCENTRIC SYSTEMS, SA
HIPOGEST;HIPOGEST;"HERTZ; HR-ALUGUER DE AUTOMԖEIS, SA; GARAGEM VITORIA AUTOMOVEIS, LDA, FACILCAR*; IBERPEȁS SOBRESSALENTES*; ITALSADO AUTOMԖEIS SA;AGENCIA COMERCIO AGRO INDUSTRIAL LDA"
HSMARIA | HOSPITAL DE SANTA MARIA EPE
HUF;FICOSA;HUF PORTUGUESA-FABRICA COMPONENTES AUTOMOVEL,LDA
HUSSEL | JERԎIMO MARTINS - RESTAURAȃO E SERVIȏS SA
IFB | INSTITUTO FORMAȃO BANCARIA
INATEL | INATEL-INST.NAC.APROV.TEM.LIV.TRAB.
INCOVECA | INCOVECA GRANITOS
INFORMADB | INFORMA D&B (SERVIȏS DE GESTď DE EMPRESAS) - SOCIEDADE UNIPESSOAL LDA
IVILANOVA;IRMďS VILA NOVA;"IRMAOS VILA NOVA, AS; "
JAGUARAUTO | JAGUAR AUTOMOVEIS, SA
JAYMECOSTA | JAYME DA COSTA MECÎICA E ELECTRICIDADE, SA
JOAODEUS | JOAO DEUS & FILHOS SA
KUHNENAGEL | K݈NE +  NAGEL LDA
LACTOGAL;LACTOGAL;"LACTOGAL-PRODUTOS ALIMENTARES, AS; ETANOR/PENHA PROD.ALIMENTAR CONSULTORIA TECNICA S; LACTICINIOS VIGOR, AS; PROLEITE-COOP.AGR.PROD.L.CEN.L., CRL"
LEROY;LEROY MERLIN;"BRICODIS-DISTRIBUIȁO DE BRICOLAGE, AS; LEROY MERLIN AS"
LIDL | LIDL & CIA
LOGIC | 
