PARMALAT | PARMALAT PORTUGAL-PRODUTOS ALIMENTARES LDA
PETROCOOP | PETROCOOP-COOP.C.TRAB.C.PETROQUIMICO, CRL
POLITERMICA | POLITERMICA INDۓTRIAS TʒMICAS, LDA
PORSEG | PORSEG SISTEMAS DE SEGURANCA SA
PROCONFAR | "PROCONFAR-PRODUTOS FARMACEUTICOS,LDA; PRONCONFAR"
PS | PARTIDO SOCIALISTA
QDATA | QDATA, RECOLHA TRAT.DADOS UNIPESSOAL LDA
QVISTAS | HIPOLITO FRANCO & ANTONIO NOBREGA SA
SATA | SATA-SERV.ACOREANO TRANSP. AEREOS EP
SACOOR;SACOOR;
SALSA | SLS SALSA-COMERCIO E DIFUSAO DE VESTUARIO SA
SHAMIR | SHAMIR PORTUGAL LDA
SHOTELAREZ | SOCIEDADE HOTELEIRA DO AREZ S. A.
SMASVISEU | SERVICOS MUNICIPALIZADOS VISEU
SNQTBANC | SINDICATO NAC. QUADROS T. BANCARIOS
SOMINCOR | SOMINCOR-SOC.MINEIRA NEVES CORVO SA
SPIRAX | SPIRAX SARCO-EQUIP.INDUSTRIAIS, LDA
SWEDWOOD | SWEDWOOD PORTUGAL INDۓTRIA DE MADEIRAS E MOBILIIO LDA
TAMET | TAMET - ELECTRONICA E COMUNICAȕES SA
UACORES | (C) UNIVERSIDADE ACORES
UMONTEIRO | UMBELINO MONTEIRO SA
VALORSUL | VALORSUL SA
VORTAL | VORTAL - COM.ELECTRԎICO CONSUL.MULTIMʄIA SA
WHITEAIR | WHITE - AIRWAYS S.A.
WHITELIFE | WHITE- LIFE LDA
RAGRA | "SERVICO REGIONAL PROTECCAO CIVIL E BOMBEIROS DOS ACORES |  DIRECCAO REGIONAL DA CULTURA |  SECRETARIA REGIONAL DA EDUCACAO E FORMA?O | RIAC I.P. (RAGRA)"
EMGFA | MDN-ESTADO MAIOR GENERAL FORCAS ARMADAS
CHS | CENTRO HOSPITALAR DE SETۂAL E.P.E
HCVP | CVP-SOCIEDADE GESTď HOSPITALAR, S.A.
SRSMADEIRA | SERVICO REGIONAL SAUDE E.P.E.
VETOQUINOL | VETOQUINOL UNIPESSOAL LDA
ALAMPREIA | ANTԎIO LAMPREIA LANȁ LDA [NOTA: APARECE A VERMELHO NO FICHEIRO DO RGE]
TNL | TNL - SOCIEDADE DE EQUIP SISTEMAS AMBIENTAIS LDA
TURILIMA | TURILIMA EMPREENDIMENTOS TURISTICOS VALE LIMA S.A.
